,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Precipitable Water
94767,0,0,0,119.62,4.083
94768,0,0,0,115.97,4.048
94769,0,0,0,111.76,4.001
94770,0,0,0,107.09,3.954
94771,0,0,0,102.04,3.908
94772,0,0,0,96.69,3.863
94773,0,0,0,91.1,3.834
94774,27,208,44,85.3,3.805
94775,50,410,126,79.35,3.795
94776,66,550,225,73.26,3.786
94777,78,641,328,67.07,3.795
94778,85,717,435,60.81,3.805
94779,93,765,537,54.48,3.837
94780,99,801,634,48.12,3.87
94781,104,829,722,41.75,3.94
94782,121,828,796,35.4,4.011
94783,125,844,862,29.13,4.1
94784,129,854,915,23.02,4.19
94785,131,862,954,17.3,4.276
94786,135,862,977,12.53,4.363
94787,136,863,986,10.18,4.452
94788,164,822,969,11.81,4.541
94789,162,816,946,16.26,4.619
94790,167,796,906,21.87,4.698
94791,163,782,854,27.92,4.766
94792,162,756,788,34.17,4.834
94793,156,731,712,40.51,4.873
94794,151,691,624,46.87,4.913
94795,141,650,530,53.23,4.928999999999999
94796,134,582,429,59.56,4.945
94797,118,512,327,65.84,4.95
94798,98,418,227,72.04,4.956
94799,71,295,132,78.14,4.935
94800,37,139,51,84.12,4.914
94801,0,0,0,89.94,4.859
94802,0,0,0,95.57,4.805
94803,0,0,0,100.97,4.728
94804,0,0,0,106.06,4.6530000000000005
94805,0,0,0,110.8,4.575
94806,0,0,0,115.1,4.498
94807,0,0,0,118.85,4.444
94808,0,0,0,121.96,4.39
94809,0,0,0,124.31,4.348
94810,0,0,0,125.81,4.306
94811,0,0,0,126.38,4.279
94812,0,0,0,125.99,4.252
94813,0,0,0,124.67,4.234
94814,0,0,0,122.47,4.217
94815,0,0,0,119.5,4.214
94816,0,0,0,115.86,4.212
94817,0,0,0,111.66,4.224
94818,0,0,0,107.0,4.2360000000000015
94819,0,0,0,101.97,4.255
94820,0,0,0,96.63,4.274
94821,0,0,0,91.04,4.294
94822,29,146,41,85.25,4.314
94823,59,330,120,79.3,4.332
94824,80,471,216,73.22,4.351
94825,97,567,318,67.03,4.371
94826,108,643,422,60.77,4.391
94827,118,696,523,54.45,4.416
94828,126,738,619,48.09,4.442
94829,133,769,707,41.72,4.478
94830,140,789,785,35.37,4.513999999999999
94831,145,808,851,29.09,4.55
94832,152,816,904,22.97,4.586
94833,155,826,943,17.23,4.605
94834,159,828,967,12.42,4.624
94835,159,830,977,10.03,4.632
94836,145,847,975,11.67,4.641
94837,144,842,953,16.14,4.636
94838,141,834,917,21.76,4.631
94839,138,822,866,27.82,4.617
94840,133,807,802,34.08,4.604
94841,128,784,726,40.42,4.581
94842,123,754,639,46.78,4.559
94843,115,717,545,53.14,4.524
94844,105,670,445,59.47,4.49
94845,93,606,342,65.74,4.45
94846,78,520,240,71.94,4.41
94847,60,396,142,78.04,4.365
94848,35,220,58,84.01,4.3210000000000015
94849,0,0,0,89.83,4.2860000000000005
94850,0,0,0,95.46,4.252
94851,0,0,0,100.84,4.231
94852,0,0,0,105.94,4.212
94853,0,0,0,110.67,4.222
94854,0,0,0,114.96,4.2330000000000005
94855,0,0,0,118.71,4.265
94856,0,0,0,121.81,4.297
94857,0,0,0,124.16,4.335
94858,0,0,0,125.66,4.373
94859,0,0,0,126.23,4.4110000000000005
94860,0,0,0,125.85,4.449
94861,0,0,0,124.54,4.481
94862,0,0,0,122.35,4.513
94863,0,0,0,119.39,4.538
94864,0,0,0,115.76,4.564
94865,0,0,0,111.57,4.569
94866,0,0,0,106.92,4.575
94867,0,0,0,101.89,4.564
94868,0,0,0,96.56,4.555
94869,0,0,0,90.98,4.541
94870,30,130,41,85.2,4.527
94871,62,305,119,79.25,4.52
94872,85,447,214,73.18,4.513
94873,103,543,316,67.0,4.508
94874,113,628,420,60.74,4.503
94875,124,682,521,54.42,4.513
94876,130,729,618,48.06,4.523
94877,137,761,706,41.69,4.551
94878,140,790,785,35.34,4.58
94879,145,808,851,29.06,4.625
94880,149,820,905,22.93,4.67
94881,152,829,944,17.17,4.715
94882,158,827,967,12.32,4.762
94883,159,829,976,9.89,4.802
94884,172,809,965,11.53,4.842
94885,170,804,943,16.02,4.864
94886,171,789,905,21.66,4.887
94887,167,776,854,27.73,4.891
94888,161,759,791,33.99,4.895
94889,155,735,715,40.33,4.877
94890,144,709,631,46.7,4.859
94891,135,669,537,53.06,4.83
94892,121,625,439,59.38,4.802
94893,107,558,337,65.65,4.775
94894,88,477,236,71.85,4.749
94895,66,355,140,77.94,4.7330000000000005
94896,37,189,57,83.91,4.717
94897,0,0,0,89.72,4.704
94898,0,0,0,95.34,4.692
94899,0,0,0,100.73,4.687
94900,0,0,0,105.81,4.682
94901,0,0,0,110.54,4.709
94902,0,0,0,114.82,4.7360000000000015
94903,0,0,0,118.57,4.783
94904,0,0,0,121.67,4.831
94905,0,0,0,124.02,4.881
94906,0,0,0,125.52,4.932
94907,0,0,0,126.09,4.982
94908,0,0,0,125.72,5.033
94909,0,0,0,124.41,5.073
94910,0,0,0,122.23,5.114
94911,0,0,0,119.28,5.132999999999999
94912,0,0,0,115.66,5.152
94913,0,0,0,111.49,5.134
94914,0,0,0,106.85,5.1160000000000005
94915,0,0,0,101.83,5.0710000000000015
94916,0,0,0,96.5,5.026
94917,0,0,0,90.93,4.977
94918,30,136,42,85.15,4.928
94919,61,316,120,79.21,4.896
94920,83,456,215,73.14,4.864
94921,100,553,316,66.97,4.846
94922,114,623,419,60.71,4.829
94923,125,677,519,54.4,4.827
94924,139,708,613,48.04,4.827
94925,146,741,700,41.67,4.839
94926,162,750,775,35.32,4.851
94927,168,770,841,29.03,4.867
94928,177,778,893,22.89,4.884
94929,180,788,933,17.11,4.898
94930,184,791,957,12.23,4.912
94931,184,793,967,9.76,4.921
94932,194,777,957,11.39,4.931
94933,193,772,935,15.91,4.928
94934,193,757,898,21.56,4.926
94935,189,743,847,27.64,4.9030000000000005
94936,186,719,783,33.9,4.881
94937,178,693,708,40.24,4.833
94938,166,666,624,46.61,4.7860000000000005
94939,155,624,531,52.97,4.729
94940,136,585,434,59.29,4.673
94941,120,514,333,65.56,4.622
94942,96,442,234,71.75,4.572
94943,72,315,138,77.84,4.526
94944,39,166,57,83.81,4.48
94945,0,0,0,89.61,4.439
94946,0,0,0,95.23,4.398
94947,0,0,0,100.61,4.367
94948,0,0,0,105.69,4.336
94949,0,0,0,110.42,4.323
94950,0,0,0,114.69,4.31
94951,0,0,0,118.44,4.323
94952,0,0,0,121.53,4.336
94953,0,0,0,123.88,4.377
94954,0,0,0,125.38,4.419
94955,0,0,0,125.96,4.474
94956,0,0,0,125.59,4.53
94957,0,0,0,124.29,4.587
94958,0,0,0,122.12,4.645
94959,0,0,0,119.18,4.699
94960,0,0,0,115.57,4.754
94961,0,0,0,111.41,4.797
94962,0,0,0,106.78,4.841
94963,0,0,0,101.77,4.87
94964,0,0,0,96.45,4.899
94965,0,0,0,90.88,4.914
94966,31,125,42,85.11,4.93
94967,61,313,120,79.18,4.933
94968,82,460,215,73.11,4.938
94969,98,559,317,66.94,4.939
94970,108,638,421,60.69,4.94
94971,118,692,521,54.38,4.941
94972,126,734,617,48.02,4.942
94973,132,766,705,41.65,4.949
94974,141,785,782,35.3,4.957
94975,146,803,848,29.0,4.967
94976,153,812,901,22.86,4.977
94977,155,822,941,17.06,4.98
94978,156,828,966,12.15,4.984
94979,156,831,976,9.63,4.982
94980,155,831,970,11.26,4.98
94981,154,826,949,15.8,4.978
94982,147,823,914,21.46,4.976
94983,144,811,863,27.55,4.97
94984,135,801,801,33.81,4.965
94985,130,778,726,40.16,4.9460000000000015
94986,120,758,642,46.53,4.928
94987,112,721,548,52.88,4.897
94988,100,683,450,59.2,4.867
94989,90,620,347,65.47,4.8260000000000005
94990,74,544,246,71.66,4.785
94991,58,422,147,77.75,4.7360000000000015
94992,35,250,62,83.71,4.687
94993,0,0,0,89.51,4.648
94994,0,0,0,95.13,4.61
94995,0,0,0,100.5,4.592
94996,0,0,0,105.58,4.575
94997,0,0,0,110.3,4.569
94998,0,0,0,114.57,4.564
94999,0,0,0,118.31,4.553999999999999
95000,0,0,0,121.4,4.544
95001,0,0,0,123.75,4.525
95002,0,0,0,125.25,4.507
95003,0,0,0,125.83,4.492
95004,0,0,0,125.47,4.477
95005,0,0,0,124.18,4.467
95006,0,0,0,122.02,4.458
95007,0,0,0,119.09,4.449
95008,0,0,0,115.49,4.441
95009,0,0,0,111.33,4.435
95010,0,0,0,106.71,4.428999999999999
95011,0,0,0,101.71,4.421
95012,0,0,0,96.4,4.414
95013,0,0,0,90.84,4.404
95014,28,217,46,85.08,4.396
95015,50,419,129,79.15,4.384
95016,65,554,226,73.09,4.372
95017,77,644,330,66.92,4.362
95018,85,713,434,60.67,4.353
95019,92,761,536,54.36,4.353
95020,98,797,632,48.01,4.353
95021,104,825,721,41.64,4.37
95022,119,828,795,35.28,4.388
95023,123,844,862,28.98,4.416
95024,129,852,914,22.83,4.445
95025,131,860,954,17.01,4.473
95026,132,865,979,12.07,4.501
95027,133,867,989,9.51,4.517
95028,133,866,983,11.14,4.533
95029,132,861,961,15.69,4.539
95030,126,858,926,21.36,4.546
95031,123,847,875,27.46,4.545
95032,117,836,812,33.73,4.545
95033,112,816,737,40.07,4.532
95034,104,794,652,46.44,4.521
95035,98,760,558,52.8,4.504
95036,88,722,459,59.12,4.488
95037,79,663,355,65.38,4.468
95038,67,586,252,71.57,4.448
95039,53,468,153,77.65,4.417
95040,33,291,66,83.61,4.386
95041,0,0,0,89.41,4.349
95042,0,0,0,95.02,4.312
95043,0,0,0,100.39,4.279
95044,0,0,0,105.47,4.246
95045,0,0,0,110.18,4.232
95046,0,0,0,114.45,4.218999999999999
95047,0,0,0,118.18,4.221
95048,0,0,0,121.28,4.224
95049,0,0,0,123.62,4.23
95050,0,0,0,125.13,4.2360000000000015
95051,0,0,0,125.71,4.244
95052,0,0,0,125.36,4.254
95053,0,0,0,124.07,4.258
95054,0,0,0,121.92,4.263
95055,0,0,0,119.0,4.259
95056,0,0,0,115.41,4.255
95057,0,0,0,111.27,4.24
95058,0,0,0,106.65,4.225
95059,0,0,0,101.66,4.202
95060,0,0,0,96.36,4.181
95061,0,0,0,90.8,4.149
95062,31,156,44,85.05,4.117
95063,60,341,124,79.12,4.088
95064,81,477,220,73.07,4.059
95065,97,573,322,66.9,4.046
95066,107,651,427,60.66,4.035
95067,118,704,528,54.35,4.041
95068,126,744,624,48.0,4.048
95069,133,774,712,41.63,4.082
95070,139,798,790,35.27,4.117
95071,143,816,857,28.97,4.154
95072,148,828,911,22.8,4.191
95073,150,837,951,16.97,4.205
95074,151,843,976,12.0,4.218999999999999
95075,152,845,986,9.4,4.216
95076,167,823,975,11.02,4.214
95077,165,818,954,15.58,4.204
95078,161,812,918,21.27,4.194
95079,157,799,867,27.37,4.182
95080,152,782,804,33.64,4.171
95081,146,759,728,39.99,4.162
95082,137,732,643,46.36,4.1530000000000005
95083,129,693,549,52.72,4.154
95084,119,640,448,59.03,4.1560000000000015
95085,105,574,345,65.3,4.183
95086,93,466,241,71.48,4.212
95087,70,346,144,77.56,4.263
95088,40,165,59,83.52,4.314
95089,0,0,0,89.31,4.359
95090,0,0,0,94.92,4.405
95091,0,0,0,100.29,4.413
95092,0,0,0,105.36,4.422
95093,0,0,0,110.07,4.414
95094,0,0,0,114.33,4.4060000000000015
95095,0,0,0,118.06,4.417
95096,0,0,0,121.16,4.428
95097,0,0,0,123.5,4.444
95098,0,0,0,125.01,4.46
95099,0,0,0,125.6,4.452
95100,0,0,0,125.25,4.4460000000000015
95101,0,0,0,123.97,4.413
95102,0,0,0,121.83,4.38
95103,0,0,0,118.92,4.3610000000000015
95104,0,0,0,115.34,4.343
95105,0,0,0,111.2,4.348
95106,0,0,0,106.6,4.354
95107,0,0,0,101.62,4.346
95108,0,0,0,96.32,4.338
95109,0,0,0,90.77,4.2810000000000015
95110,30,177,45,85.02,4.225
95111,57,367,126,79.1,4.218
95112,74,510,223,73.05,4.213
95113,88,603,325,66.89,4.263999999999999
95114,99,671,428,60.65,4.316
95115,108,722,529,54.34,4.332
95116,115,762,626,47.99,4.348
95117,121,792,714,41.62,4.343
95118,125,817,793,35.26,4.339
95119,129,835,860,28.96,4.337
95120,137,841,913,22.79,4.336
95121,139,850,953,16.94,4.333
95122,146,848,976,11.94,4.33
95123,147,850,986,9.3,4.33
95124,152,841,978,10.9,4.33
95125,151,836,957,15.48,4.335
95126,153,821,919,21.18,4.34
95127,150,808,869,27.28,4.332
95128,146,789,805,33.56,4.324
95129,141,767,729,39.91,4.306
95130,133,739,644,46.28,4.289
95131,124,701,550,52.63,4.279
95132,114,652,451,58.95,4.27
95133,102,587,348,65.21,4.2780000000000005
95134,87,497,246,71.39,4.287
95135,67,376,148,77.47,4.29
95136,39,210,63,83.43,4.294
95137,0,0,0,89.22,4.313
95138,0,0,0,94.82,4.332
95139,0,0,0,100.19,4.388
95140,0,0,0,105.25,4.444
95141,0,0,0,109.96,4.487
95142,0,0,0,114.22,4.53
95143,0,0,0,117.95,4.586
95144,0,0,0,121.04,4.643
95145,0,0,0,123.39,4.744
95146,0,0,0,124.9,4.845
95147,0,0,0,125.49,4.9030000000000005
95148,0,0,0,125.15,4.962
95149,0,0,0,123.88,4.938
95150,0,0,0,121.75,4.915
95151,0,0,0,118.85,4.847
95152,0,0,0,115.28,4.78
95153,0,0,0,111.15,4.694
95154,0,0,0,106.55,4.6080000000000005
95155,0,0,0,101.58,4.567
95156,0,0,0,96.29,4.526
95157,0,0,0,90.74,4.556
95158,31,141,43,85.0,4.586
95159,62,318,122,79.09,4.622
95160,89,430,214,73.04,4.659
95161,108,526,314,66.88,4.676
95162,125,593,416,60.64,4.694
95163,137,649,516,54.33,4.67
95164,143,700,612,47.99,4.648
95165,152,733,700,41.62,4.59
95166,152,770,781,35.26,4.534
95167,157,790,848,28.95,4.492
95168,159,806,903,22.77,4.4510000000000005
95169,162,816,943,16.91,4.426
95170,164,821,968,11.88,4.401
95171,164,824,978,9.2,4.41
95172,137,859,981,10.79,4.419
95173,135,854,959,15.38,4.466
95174,139,837,921,21.09,4.513999999999999
95175,136,824,869,27.2,4.595
95176,137,799,804,33.48,4.676
95177,132,776,728,39.83,4.761
95178,130,736,640,46.2,4.847
95179,123,698,547,52.55,4.899
95180,116,640,447,58.87,4.9510000000000005
95181,103,575,345,65.13,4.997
95182,89,482,243,71.31,5.043
95183,68,362,147,77.39,5.105
95184,40,193,63,83.34,5.167999999999998
95185,0,0,0,89.13,5.192
95186,0,0,0,94.73,5.216
95187,0,0,0,100.09,5.189
95188,0,0,0,105.15,5.162000000000001
95189,0,0,0,109.85,5.125
95190,0,0,0,114.11,5.088
95191,0,0,0,117.84,5.01
95192,0,0,0,120.93,4.932
95193,0,0,0,123.28,4.814
95194,0,0,0,124.79,4.6960000000000015
95195,0,0,0,125.39,4.609
95196,0,0,0,125.05,4.524
95197,0,0,0,123.79,4.484
95198,0,0,0,121.67,4.445
95199,0,0,0,118.78,4.421
95200,0,0,0,115.22,4.397
95201,0,0,0,111.1,4.4030000000000005
95202,0,0,0,106.51,4.41
95203,0,0,0,101.54,4.438
95204,0,0,0,96.26,4.466
95205,0,0,0,90.72,4.515
95206,30,163,45,84.98,4.564
95207,59,345,124,79.07,4.595
95208,79,478,219,73.03,4.627
95209,96,572,320,66.88,4.6160000000000005
95210,105,651,424,60.64,4.605
95211,115,703,525,54.33,4.589
95212,122,746,621,47.99,4.574
95213,128,776,709,41.62,4.5760000000000005
95214,134,799,787,35.26,4.578
95215,138,817,854,28.95,4.606
95216,136,838,909,22.76,4.634
95217,139,846,949,16.89,4.681
95218,135,858,976,11.83,4.728
95219,136,860,985,9.1,4.813
95220,161,823,970,10.69,4.898
95221,159,818,949,15.29,4.9830000000000005
95222,153,814,913,21.0,5.0680000000000005
95223,150,801,863,27.12,5.092
95224,143,788,801,33.41,5.1160000000000005
95225,137,766,727,39.76,5.07
95226,129,741,643,46.12,5.025
95227,121,704,550,52.48,4.935
95228,111,657,452,58.79,4.845
95229,99,594,350,65.05,4.749
95230,86,503,248,71.23,4.654
95231,66,385,151,77.3,4.583
95232,40,212,65,83.25,4.513
95233,0,0,0,89.04,4.462
95234,0,0,0,94.64,4.412
95235,0,0,0,99.99,4.363
95236,0,0,0,105.05,4.314
95237,0,0,0,109.75,4.25
95238,0,0,0,114.01,4.187
95239,0,0,0,117.74,4.1160000000000005
95240,0,0,0,120.83,4.045
95241,0,0,0,123.18,3.995
95242,0,0,0,124.69,3.945
95243,0,0,0,125.3,3.924
95244,0,0,0,124.96,3.904
95245,0,0,0,123.71,3.9
95246,0,0,0,121.6,3.896
95247,0,0,0,118.72,3.895
95248,0,0,0,115.17,3.895
95249,0,0,0,111.05,3.911
95250,0,0,0,106.47,3.927
95251,0,0,0,101.51,3.968
95252,0,0,0,96.24,4.009
95253,0,0,0,90.7,4.066
95254,31,148,44,84.97,4.124
95255,62,322,123,79.06,4.199
95256,88,441,216,73.02,4.274
95257,106,535,317,66.87,4.374
95258,124,596,417,60.64,4.474
95259,137,650,516,54.34,4.593
95260,155,674,607,47.99,4.713
95261,164,707,693,41.62,4.834
95262,157,757,775,35.26,4.955
95263,162,775,841,28.95,5.066
95264,179,771,890,22.76,5.1770000000000005
95265,182,781,930,16.87,5.244
95266,193,774,951,11.79,5.313
95267,194,777,961,9.02,5.325
95268,195,773,955,10.59,5.337999999999999
95269,193,768,935,15.2,5.29
95270,182,771,903,20.92,5.242999999999999
95271,178,758,853,27.04,5.1770000000000005
95272,163,755,794,33.33,5.1110000000000015
95273,157,731,720,39.68,5.063
95274,158,684,633,46.05,5.016
95275,147,644,541,52.4,4.979
95276,134,594,443,58.72,4.9430000000000005
95277,119,528,342,64.97,4.894
95278,99,443,242,71.15,4.845
95279,75,328,147,77.22,4.763
95280,42,185,64,83.17,4.682
95281,7,20,7,88.95,4.6
95282,0,0,0,94.55,4.518
95283,0,0,0,99.9,4.448
95284,0,0,0,104.96,4.378
95285,0,0,0,109.66,4.295
95286,0,0,0,113.92,4.212
95287,0,0,0,117.64,4.097
95288,0,0,0,120.73,3.983
95289,0,0,0,123.08,3.856
95290,0,0,0,124.6,3.73
95291,0,0,0,125.21,3.663
95292,0,0,0,124.88,3.597
95293,0,0,0,123.64,3.674
95294,0,0,0,121.54,3.751
95295,0,0,0,118.66,3.795
95296,0,0,0,115.12,3.84
95297,0,0,0,111.01,3.828
95298,0,0,0,106.44,3.817
95299,0,0,0,101.49,3.841
95300,0,0,0,96.22,3.866
95301,0,0,0,90.69,3.936
95302,32,134,43,84.96,4.006
95303,65,302,122,79.06,4.064
95304,90,431,216,73.02,4.123
95305,109,527,316,66.88,4.125
95306,119,615,421,60.64,4.129
95307,131,670,522,54.34,4.082
95308,131,732,621,48.0,4.035
95309,138,765,710,41.63,3.99
95310,144,790,789,35.27,3.946
95311,149,809,857,28.95,3.926
95312,144,835,914,22.76,3.907
95313,146,844,955,16.86,3.901
95314,144,855,982,11.75,3.895
95315,145,857,992,8.94,3.903
95316,143,858,987,10.49,3.912
95317,142,853,965,15.11,3.937
95318,139,844,929,20.84,3.963
95319,136,832,878,26.97,4.002
95320,134,813,814,33.25,4.041
95321,129,791,738,39.61,4.069
95322,124,760,652,45.98,4.098
95323,116,723,558,52.33,4.109
95324,108,673,458,58.64,4.12
95325,96,611,356,64.9,4.128
95326,83,524,253,71.07,4.136
95327,64,407,155,77.14,4.138999999999999
95328,40,236,68,83.09,4.143
95329,8,34,9,88.87,4.141
95330,0,0,0,94.46,4.141
95331,0,0,0,99.81,4.13
95332,0,0,0,104.87,4.12
95333,0,0,0,109.57,4.097
95334,0,0,0,113.82,4.075
95335,0,0,0,117.55,4.042
95336,0,0,0,120.64,4.009
95337,0,0,0,122.99,3.967
95338,0,0,0,124.51,3.925
95339,0,0,0,125.13,3.873
95340,0,0,0,124.81,3.821
95341,0,0,0,123.57,3.766
95342,0,0,0,121.48,3.711
95343,0,0,0,118.61,3.654
95344,0,0,0,115.08,3.5980000000000003
95345,0,0,0,110.98,3.54
95346,0,0,0,106.42,3.482
95347,0,0,0,101.47,3.424
95348,0,0,0,96.2,3.367
95349,0,0,0,90.68,3.319
95350,29,210,48,84.96,3.2710000000000004
95351,54,406,131,79.06,3.2430000000000003
95352,68,555,230,73.03,3.216
95353,80,645,334,66.88,3.218
95354,87,721,440,60.65,3.22
95355,94,769,542,54.35,3.2510000000000003
95356,100,805,639,48.01,3.282
95357,106,831,727,41.64,3.357
95358,115,844,804,35.28,3.432
95359,118,859,870,28.96,3.5460000000000003
95360,138,844,916,22.76,3.662
95361,140,852,955,16.85,3.788
95362,163,825,971,11.72,3.915
95363,164,826,980,8.87,4.029
95364,149,844,980,10.4,4.145
95365,147,839,958,15.03,4.23
95366,172,789,911,20.76,4.316
95367,169,776,861,26.89,4.363
95368,173,742,794,33.18,4.4110000000000005
95369,166,717,720,39.54,4.419
95370,151,699,639,45.9,4.427
95371,142,660,546,52.26,4.417
95372,121,634,452,58.57,4.408
95373,108,570,351,64.82,4.388999999999999
95374,86,510,252,70.99,4.371
95375,67,394,155,77.06,4.338
95376,39,253,70,83.01,4.306
95377,9,41,10,88.79,4.273
95378,0,0,0,94.38,4.24
95379,0,0,0,99.73,4.204
95380,0,0,0,104.79,4.168
95381,0,0,0,109.48,4.14
95382,0,0,0,113.74,4.113
95383,0,0,0,117.46,4.104
95384,0,0,0,120.55,4.093999999999999
95385,0,0,0,122.91,4.105
95386,0,0,0,124.43,4.115
95387,0,0,0,125.05,4.141
95388,0,0,0,124.74,4.168
95389,0,0,0,123.51,4.217
95390,0,0,0,121.43,4.266
95391,0,0,0,118.57,4.3180000000000005
95392,0,0,0,115.04,4.37
95393,0,0,0,110.95,4.405
95394,0,0,0,106.4,4.441
95395,0,0,0,101.45,4.428999999999999
95396,0,0,0,96.2,4.418
95397,0,0,0,90.68,4.354
95398,30,188,46,84.96,4.291
95399,55,380,127,79.06,4.1930000000000005
95400,73,517,224,73.03,4.096
95401,87,610,326,66.89,4.016
95402,96,685,431,60.66,3.937
95403,104,735,533,54.37,3.924
95404,110,776,629,48.03,3.912
95405,116,805,717,41.66,3.957
95406,122,825,795,35.3,4.002
95407,125,842,862,28.97,4.067
95408,130,851,915,22.77,4.134
95409,133,859,955,16.85,4.181
95410,137,860,979,11.69,4.228
95411,137,862,990,8.81,4.246
95412,142,853,982,10.32,4.263999999999999
95413,141,849,962,14.95,4.272
95414,142,836,925,20.69,4.28
95415,139,824,875,26.82,4.298
95416,135,807,812,33.11,4.317
95417,130,786,737,39.47,4.313
95418,122,762,653,45.83,4.309
95419,115,726,560,52.19,4.294
95420,105,681,461,58.5,4.279
95421,94,619,359,64.75,4.265
95422,81,534,256,70.92,4.252
95423,64,415,158,76.99,4.22
95424,41,239,71,82.93,4.189
95425,10,27,10,88.71,4.141
95426,0,0,0,94.3,4.093999999999999
95427,0,0,0,99.65,4.043
95428,0,0,0,104.71,3.992
95429,0,0,0,109.4,3.955
95430,0,0,0,113.66,3.918
95431,0,0,0,117.38,3.884
95432,0,0,0,120.47,3.851
95433,0,0,0,122.83,3.788
95434,0,0,0,124.36,3.726
95435,0,0,0,124.99,3.626
95436,0,0,0,124.68,3.527
95437,0,0,0,123.46,3.419
95438,0,0,0,121.38,3.312
95439,0,0,0,118.53,3.228
95440,0,0,0,115.01,3.145
95441,0,0,0,110.93,3.115
95442,0,0,0,106.38,3.0860000000000003
95443,0,0,0,101.44,3.105
95444,0,0,0,96.19,3.125
95445,0,0,0,90.68,3.16
95446,31,165,46,84.96,3.195
95447,59,361,127,79.07,3.2230000000000003
95448,75,513,225,73.04,3.252
95449,89,608,328,66.91,3.278
95450,95,692,434,60.68,3.305
95451,104,742,536,54.39,3.326
95452,107,787,634,48.04,3.3480000000000003
95453,113,816,723,41.68,3.36
95454,115,842,803,35.31,3.372
95455,119,859,870,28.99,3.384
95456,119,876,926,22.78,3.3960000000000004
95457,121,884,967,16.85,3.423
95458,122,889,993,11.68,3.45
95459,123,890,1003,8.75,3.497
95460,140,864,991,10.24,3.545
95461,139,859,970,14.87,3.599
95462,140,846,932,20.62,3.653
95463,137,833,882,26.75,3.706
95464,135,814,817,33.04,3.76
95465,130,791,742,39.4,3.795
95466,123,763,656,45.77,3.83
95467,116,727,562,52.12,3.854
95468,107,680,463,58.43,3.878
95469,96,617,360,64.68,3.883
95470,82,534,257,70.85,3.888
95471,64,416,159,76.92,3.867
95472,41,247,72,82.86,3.846
95473,10,33,10,88.64,3.829
95474,0,0,0,94.23,3.813
95475,0,0,0,99.58,3.783
95476,0,0,0,104.63,3.754
95477,0,0,0,109.32,3.715
95478,0,0,0,113.58,3.677
95479,0,0,0,117.3,3.637
95480,0,0,0,120.4,3.5980000000000003
95481,0,0,0,122.76,3.557
95482,0,0,0,124.29,3.517
95483,0,0,0,124.92,3.485
95484,0,0,0,124.63,3.454
95485,0,0,0,123.41,3.428
95486,0,0,0,121.34,3.402
95487,0,0,0,118.5,3.393
95488,0,0,0,114.99,3.385
95489,0,0,0,110.92,3.394
95490,0,0,0,106.37,3.403
95491,0,0,0,101.44,3.427
95492,0,0,0,96.19,3.451
95493,0,0,0,90.68,3.484
95494,32,152,45,84.97,3.518
95495,61,336,125,79.08,3.554
95496,84,465,220,73.06,3.592
95497,101,561,321,66.92,3.64
95498,113,635,424,60.7,3.688
95499,124,688,525,54.41,3.755
95500,137,721,619,48.07,3.823
95501,144,753,706,41.7,3.894
95502,159,762,781,35.34,3.966
95503,164,781,848,29.01,4.03
95504,184,773,897,22.8,4.096
95505,187,784,937,16.86,4.136
95506,203,771,958,11.66,4.177
95507,203,774,969,8.7,4.183
95508,207,767,963,10.17,4.19
95509,205,762,942,14.8,4.18
95510,194,764,910,20.55,4.17
95511,190,750,861,26.68,4.154
95512,176,744,801,32.98,4.138999999999999
95513,170,719,726,39.33,4.134
95514,155,699,644,45.7,4.13
95515,146,659,551,52.05,4.124
95516,127,625,455,58.36,4.119
95517,113,559,353,64.61,4.099
95518,93,485,253,70.78,4.08
95519,72,368,156,76.85,4.059
95520,44,209,70,82.79,4.038
95521,9,25,10,88.57,4.025
95522,0,0,0,94.16,4.011
95523,0,0,0,99.5,3.998
95524,0,0,0,104.56,3.985
95525,0,0,0,109.25,3.989
95526,0,0,0,113.51,3.994
95527,0,0,0,117.23,4.011
95528,0,0,0,120.33,4.03
95529,0,0,0,122.7,4.046
95530,0,0,0,124.23,4.065
95531,0,0,0,124.87,4.077
95532,0,0,0,124.58,4.089
95533,0,0,0,123.37,4.088
95534,0,0,0,121.31,4.088
95535,0,0,0,118.48,4.078
95536,0,0,0,114.97,4.069
95537,0,0,0,110.91,4.035
95538,0,0,0,106.37,4.003
95539,0,0,0,101.44,3.958
95540,0,0,0,96.2,3.913
95541,0,0,0,90.69,3.873
95542,32,112,42,84.98,3.833
95543,66,284,120,79.1,3.799
95544,90,426,214,73.08,3.765
95545,109,525,315,66.94,3.74
95546,118,615,419,60.72,3.716
95547,130,670,520,54.43,3.704
95548,137,718,617,48.09,3.693
95549,145,750,705,41.73,3.701
95550,143,789,787,35.36,3.709
95551,148,807,854,29.04,3.738
95552,149,825,910,22.82,3.768
95553,151,834,950,16.87,3.813
95554,152,841,976,11.66,3.859
95555,153,842,986,8.66,3.916
95556,158,833,979,10.1,3.973
95557,157,828,958,14.73,4.027
95558,157,816,922,20.48,4.082
95559,153,803,872,26.62,4.119
95560,150,784,808,32.91,4.157
95561,144,761,734,39.27,4.162
95562,137,733,650,45.64,4.167
95563,128,696,557,51.99,4.149
95564,116,652,459,58.3,4.132
95565,104,588,357,64.55,4.112
95566,89,503,255,70.72,4.091
